="Heterogeneity in treatment effects on perform by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="       (456.486)   ",="       (328.399)   ",="       (290.276)   ",="       (852.050)   ",="       (803.761)   ",="       (727.591)   ",="       (461.128)   ",="       (307.867)   ",="       (267.276)   ",="       (680.708)   ",="       (636.135)   ",="       (585.018)   ",="       (367.548)   ",="       (339.997)   ",="       (299.516)   ",="       (715.178)   ",="       (664.434)   ",="       (628.432)   ",="       (346.684)   ",="       (325.296)   ",="       (283.749)   ",="       (682.133)   ",="       (629.797)   ",="       (591.913)   ",="       (533.596)   ",="       (491.719)   ",="       (429.523)   ",="      (1199.911)   ",="      (1144.418)   ",="      (1092.295)   ",="       (363.217)   ",="       (347.282)   ",="       (296.149)   ",="       (693.891)   ",="       (663.468)   ",="       (631.522)   "
="B_BMasp12                                         ",="          -9.128   ",="        -169.476   ",="        -209.767   ",="       -1715.428***",="       -1800.856***",="       -1804.518***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (355.689)   ",="       (246.365)   ",="       (216.532)   ",="       (643.834)   ",="       (545.429)   ",="       (528.525)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMasp12                                        ",="        -186.491   ",="        -193.079   ",="        -268.630   ",="       -2234.413** ",="       -1596.428** ",="       -1435.607** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (402.539)   ",="       (351.191)   ",="       (302.084)   ",="       (909.134)   ",="       (745.986)   ",="       (686.165)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMasp12                                        ",="        -229.013   ",="        -235.976   ",="        -272.337   ",="       -1700.459   ",="        -839.309   ",="        -771.698   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (396.637)   ",="       (336.375)   ",="       (299.448)   ",="      (1431.991)   ",="       (825.350)   ",="       (747.611)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMasp12                                       ",="        -775.866*  ",="        -549.935   ",="        -556.317*  ",="       -1907.310** ",="       -1895.216** ",="       -1809.468** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (456.213)   ",="       (352.783)   ",="       (315.428)   ",="       (860.705)   ",="       (793.552)   ",="       (733.086)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMasp                                           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          85.285   ",="         -30.982   ",="         -56.941   ",="       -1503.895** ",="       -1497.009***",="       -1473.257***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
