="Balance of compliance on baseline covariates"
="                                                  ",="                   ",="                   ",="                   ",="         (0.103)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.125)   ",="                   ",="                   ",="                   ",="         (0.215)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.262)   ",="                   ",="                   ",="                   ",="         (0.180)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.234)   ",="                   ",="                   ",="                   ",="         (0.193)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.248)   "
="Total Profits Last Month (USD PPP) at W1 (win 2 %)",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="           0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="          -0.000*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   "
="Respondent Years of Education at W1               ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.005   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.013   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.009   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.005   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.004   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.005)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.005)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.008)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.009)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.007)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.008)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.008)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.009)   "
="Digit Span (0-8 Scale)                            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.020   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.039   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.032   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.015   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.031   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.023   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.017)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.019)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.029)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.028)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.029)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.031)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.031)   "
="And in general regarding all possible situations? ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.004   ",="                   ",="                   ",="                   ",="                   ",="           0.005   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.008   ",="                   ",="                   ",="                   ",="                   ",="           0.008   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.009   ",="                   ",="                   ",="                   ",="                   ",="          -0.010   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.020*  ",="                   ",="                   ",="                   ",="                   ",="           0.021*  "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.007)   ",="                   ",="                   ",="                   ",="                   ",="         (0.007)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.012)   ",="                   ",="                   ",="                   ",="                   ",="         (0.012)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.010)   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   ",="                   ",="                   ",="                   ",="                   ",="         (0.012)   "
="And in general regarding all possible situations? ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.005   ",="                   ",="                   ",="                   ",="           0.004   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.001   ",="                   ",="                   ",="                   ",="          -0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.005   ",="                   ",="                   ",="                   ",="          -0.006   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   ",="                   ",="                   ",="                   ",="          -0.002   "
