="IV (2SLS) estimation of treatment effects on sales"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W3 (Log Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Book                                     ",="        -289.761   ",="        -432.820   ",="        -372.777   ",="          -0.077   "
="                                                  ",="       (513.052)   ",="       (456.658)   ",="       (355.213)   ",="         (0.079)   "
="Received Book & Movie                             ",="        1014.273   ",="         986.211   ",="        1147.579*  ",="           0.159   "
="                                                  ",="       (951.685)   ",="       (842.086)   ",="       (660.511)   ",="         (0.147)   "
="BCT2                                              ",="        1401.694*  ",="        1335.979*  ",="        1384.027** ",="           0.218*  "
="                                                  ",="       (776.906)   ",="       (691.248)   ",="       (553.525)   ",="         (0.114)   "
="BMCT2                                             ",="        1218.448   ",="        1279.128   ",="        1578.140*  ",="           0.259   "
="                                                  ",="      (1133.010)   ",="      (1033.913)   ",="       (831.952)   ",="         (0.176)   "
="R-squared                                         ",="           0.489   ",="           0.502   ",="           0.521   ",="           0.466   "
="N                                                 ",="            1179   ",="            1179   ",="            1179   ",="            1179   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
