="Heterogeneity in treatment effects on placebo by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="         (0.098)   ",="      (1031.767)   ",="         (0.410)   ",="         (0.023)   ",="       (163.727)   ",="         (0.062)   ",="         (0.097)   ",="      (1095.929)   ",="         (0.436)   ",="         (0.023)   ",="       (183.714)   ",="         (0.066)   ",="         (0.105)   ",="       (366.851)   ",="         (0.346)   ",="         (0.027)   ",="        (57.152)   ",="         (0.050)   ",="         (0.110)   ",="       (369.040)   ",="         (0.321)   ",="         (0.028)   ",="        (52.896)   ",="         (0.052)   ",="         (0.127)   ",="       (603.055)   ",="         (0.509)   ",="         (0.035)   ",="        (92.772)   ",="         (0.067)   ",="         (0.121)   ",="       (574.883)   ",="         (0.486)   ",="         (0.033)   ",="       (108.332)   ",="         (0.065)   "
="B_BMasp12                                         ",="          -0.390***",="        -258.814   ",="          -0.516   ",="          -0.018   ",="         -17.019   ",="          -0.135*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.115)   ",="       (374.579)   ",="         (0.447)   ",="         (0.024)   ",="        (64.373)   ",="         (0.075)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMasp12                                        ",="          -0.039   ",="        -252.322   ",="           0.001   ",="          -0.050** ",="         -95.392   ",="          -0.018   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.110)   ",="       (363.729)   ",="         (0.421)   ",="         (0.024)   ",="        (61.371)   ",="         (0.071)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMasp12                                        ",="          -0.090   ",="         350.776   ",="          -0.474   ",="          -0.016   ",="          33.211   ",="          -0.087   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.101)   ",="       (374.172)   ",="         (0.459)   ",="         (0.024)   ",="        (61.843)   ",="         (0.078)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMasp12                                       ",="          -0.042   ",="       -1139.342   ",="          -0.636   ",="           0.023   ",="        -131.909   ",="          -0.093   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.113)   ",="      (1027.180)   ",="         (0.465)   ",="         (0.025)   ",="       (165.275)   ",="         (0.073)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMasp                                           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.091   ",="        -530.276   ",="          -1.141***",="          -0.022   ",="         -82.717   ",="          -0.200***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
