="Balance of attrition on baseline covariates at endline 1 (W3) and endline 2 (W4)"
="                                                  ",="                   ",="                   ",="                   ",="         (0.017)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.017)   ",="                   ",="                   ",="                   ",="         (0.025)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.026)   "
="Total Number of Hired Employees at W1             ",="                   ",="                   ",="                   ",="                   ",="          -0.006   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.008   ",="                   ",="                   ",="                   ",="                   ",="           0.011   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.020   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.015)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.019)   ",="                   ",="                   ",="                   ",="                   ",="         (0.020)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   "
="Firm Registered (for Taxes or Else)               ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.017   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.030   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.020   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.033)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.036)   "
="W1_powerout_wk                                    ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.012   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.017   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.038   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.025   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.040)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.040)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.056)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.061)   "
="W1_assets_otherfirm                               ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.013   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.012   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.020   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.025   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.014)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.014)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.021)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.023)   "
="Outstanding Loans at W1                           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   "
