="Heterogeneity in treatment effects on perform by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="       (456.486)   ",="       (328.399)   ",="       (290.276)   ",="       (852.050)   ",="       (803.761)   ",="       (727.591)   ",="       (461.128)   ",="       (307.867)   ",="       (267.276)   ",="       (680.708)   ",="       (636.135)   ",="       (585.018)   ",="       (363.699)   ",="       (340.885)   ",="       (298.178)   ",="       (687.178)   ",="       (644.526)   ",="       (610.071)   ",="       (328.229)   ",="       (306.509)   ",="       (268.094)   ",="       (663.065)   ",="       (612.053)   ",="       (575.988)   ",="       (519.855)   ",="       (490.776)   ",="       (424.660)   ",="      (1063.489)   ",="      (1022.478)   ",="       (976.868)   ",="       (334.905)   ",="       (319.607)   ",="       (281.602)   ",="       (695.289)   ",="       (673.047)   ",="       (643.387)   "
="B_BMasp12                                         ",="          -9.128   ",="        -169.476   ",="        -209.767   ",="       -1715.428***",="       -1800.856***",="       -1804.518***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (355.689)   ",="       (246.365)   ",="       (216.532)   ",="       (643.834)   ",="       (545.429)   ",="       (528.525)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMasp12                                        ",="        -186.491   ",="        -193.079   ",="        -268.630   ",="       -2234.413** ",="       -1596.428** ",="       -1435.607** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (402.539)   ",="       (351.191)   ",="       (302.084)   ",="       (909.134)   ",="       (745.986)   ",="       (686.165)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMasp12                                        ",="        -229.013   ",="        -235.976   ",="        -272.337   ",="       -1700.459   ",="        -839.309   ",="        -771.698   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (396.637)   ",="       (336.375)   ",="       (299.448)   ",="      (1431.991)   ",="       (825.350)   ",="       (747.611)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMasp12                                       ",="        -775.866*  ",="        -549.935   ",="        -556.317*  ",="       -1907.310** ",="       -1895.216** ",="       -1809.468** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (456.213)   ",="       (352.783)   ",="       (315.428)   ",="       (860.705)   ",="       (793.552)   ",="       (733.086)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMasp                                           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          85.285   ",="         -30.982   ",="         -56.941   ",="       -1503.895** ",="       -1497.009***",="       -1473.257***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (329.574)   ",="       (234.311)   ",="       (209.003)   ",="       (607.149)   ",="       (530.379)   ",="       (513.287)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMasp                                          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="        -368.421   ",="        -316.746   ",="        -285.856   ",="       -2171.420** ",="       -1515.136** ",="       -1532.216** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (417.181)   ",="       (363.232)   ",="       (310.056)   ",="       (940.043)   ",="       (767.222)   ",="       (700.887)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMasp                                          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         -56.808   ",="          -8.274   ",="          15.024   ",="        -859.225   ",="         -78.116   ",="        -170.901   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
