="Heterogeneity in treatment effects on perform by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W3   ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3   ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3   ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3   ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3   ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3   ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3   ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3   ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3   ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3   ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3   ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3   ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="       -1284.263   ",="        -186.042   ",="        -134.262   ",="        1312.271   ",="         469.825   ",="         248.836   ",="       -1090.255   ",="         -47.698   ",="         -38.934   ",="        1234.499   ",="         429.481   ",="         175.531   ",="       -1587.008   ",="        -167.400   ",="        -126.885   ",="         766.058   ",="         -84.137   ",="        -110.705   ",="       -1392.653   ",="        -112.511   ",="         -80.366   ",="         577.731   ",="        -187.515   ",="        -230.167   ",="       -2914.124   ",="        -205.523   ",="        -163.100   ",="        1817.507   ",="          90.261   ",="          32.943   ",="       -2267.157   ",="          21.563   ",="         -11.684   ",="        1419.076   ",="           4.480   ",="        -114.389   "
="                                                  ",="      (1044.289)   ",="       (217.006)   ",="       (173.938)   ",="      (1040.951)   ",="       (702.223)   ",="       (587.923)   ",="      (1004.633)   ",="       (229.210)   ",="       (180.586)   ",="      (1005.112)   ",="       (697.045)   ",="       (590.059)   ",="      (1379.762)   ",="       (223.515)   ",="       (184.041)   ",="      (1138.735)   ",="       (568.656)   ",="       (532.163)   ",="      (1257.708)   ",="       (205.700)   ",="       (170.625)   ",="      (1054.678)   ",="       (538.367)   ",="       (501.082)   ",="      (2609.768)   ",="       (345.142)   ",="       (271.438)   ",="      (2082.028)   ",="       (924.701)   ",="       (869.026)   ",="      (2278.362)   ",="       (304.171)   ",="       (247.356)   ",="      (1828.641)   ",="       (795.869)   ",="       (733.287)   "
="Assigned Handbook & Movie                         ",="         594.237   ",="         501.167*  ",="         405.521*  ",="        1030.771   ",="        1367.943*  ",="        1329.642*  ",="         599.143   ",="         503.145*  ",="         410.213*  ",="        1102.577   ",="        1432.000*  ",="        1366.405*  ",="         158.696   ",="         113.218   ",="          86.843   ",="        -120.680   ",="         276.383   ",="         179.942   ",="         208.299   ",="         160.735   ",="         117.586   ",="        -170.199   ",="         254.145   ",="         166.683   ",="         103.382   ",="          36.779   ",="          16.842   ",="        -114.618   ",="        -110.726   ",="        -258.151   ",="         -11.184   ",="         -68.935   ",="         -80.857   ",="        -842.529   ",="        -776.442   ",="        -739.931   "
="                                                  ",="       (371.696)   ",="       (268.491)   ",="       (212.299)   ",="       (982.738)   ",="       (810.107)   ",="       (687.651)   ",="       (387.660)   ",="       (281.269)   ",="       (220.455)   ",="      (1011.159)   ",="       (825.744)   ",="       (698.874)   ",="       (331.003)   ",="       (239.921)   ",="       (190.055)   ",="       (990.178)   ",="       (751.131)   ",="       (593.702)   ",="       (332.421)   ",="       (239.064)   ",="       (191.204)   ",="      (1004.079)   ",="       (761.266)   ",="       (601.033)   ",="       (360.562)   ",="       (295.782)   ",="       (232.688)   ",="       (751.257)   ",="       (714.018)   ",="       (607.846)   ",="       (370.237)   ",="       (287.233)   ",="       (218.254)   ",="       (856.830)   ",="       (824.758)   ",="       (674.756)   "
="Assigned Handbook & Counseling                    ",="         531.564*  ",="         652.882***",="         578.620***",="        1703.126*  ",="        1691.132** ",="        1598.410** ",="         350.331   ",="         464.862** ",="         470.092***",="        1224.926   ",="        1189.262   ",="        1083.119   ",="          70.080   ",="          96.088   ",="         140.737   ",="         724.170   ",="         680.703   ",="         699.841   ",="         -43.014   ",="          31.033   ",="          73.266   ",="         729.766   ",="         613.275   ",="         612.372   ",="         407.343   ",="         388.208   ",="         364.870   ",="        1927.795   ",="        1772.928   ",="        1525.894   ",="          75.508   ",="          94.035   ",="         135.136   ",="        1487.783   ",="        1211.482   ",="         734.455   "
="                                                  ",="       (277.018)   ",="       (228.872)   ",="       (189.635)   ",="       (985.361)   ",="       (798.465)   ",="       (689.008)   ",="       (255.182)   ",="       (203.661)   ",="       (179.161)   ",="      (1043.771)   ",="       (825.359)   ",="       (698.501)   ",="       (255.753)   ",="       (211.712)   ",="       (176.080)   ",="       (837.329)   ",="       (734.041)   ",="       (625.086)   ",="       (259.247)   ",="       (212.852)   ",="       (171.833)   ",="       (834.049)   ",="       (705.590)   ",="       (608.532)   ",="       (339.663)   ",="       (304.556)   ",="       (257.321)   ",="      (1413.226)   ",="      (1172.760)   ",="       (967.492)   ",="       (297.571)   ",="       (253.605)   ",="       (236.264)   ",="      (1395.314)   ",="      (1157.164)   ",="       (883.306)   "
="Assigned All Three                                ",="        1114.562** ",="         652.279** ",="         489.824** ",="        1843.933*  ",="        1562.743*  ",="        1611.174** ",="         981.355*  ",="         481.109*  ",="         297.838   ",="         836.468   ",="         590.176   ",="         641.756   ",="         762.862   ",="         429.302   ",="         241.722   ",="        1344.422   ",="        1110.691   ",="         943.624   ",="         731.925   ",="         416.723   ",="         208.560   ",="        1064.607   ",="         762.076   ",="         541.684   ",="         702.989   ",="         605.222   ",="         376.925   ",="        1427.680   ",="        1467.258   ",="        1519.837*  ",="         444.461   ",="         344.201   ",="         126.467   ",="         205.228   ",="         313.139   ",="         385.670   "
