var_name,tA,tB,pvAB,starsab
"Anyone in shop received 1st counseling session",0.77,0.78,0.752,""
"Anyone in the shop received 2nd counseling session",0.68,0.68,0.925,""
"Evaluation: understood something new",2.88,2.89,0.908,""
"Evaluation: feeling inspired",2.76,2.83,0.422,""
"Evaluation: feeling hopeful",2.88,2.97,0.312,""
"Evaluation: feeling bored",0.59,0.43,0.118,""
