="fin1 Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_w   ",="sales_mthly_comp_all_w   ",="profit_mthly_comp_rep_ihs_w   ",="profit_mthly_comp_rep_w   ",="sales_normday_ihs_w   ",="sales_normday_topprods_ihs_w   ",="profit_normday_ihs_w   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="sales_normday_top3_abvp80                         ",="           0.204***",="         441.232***",="           0.151***",="          34.409***",="           0.201***",="           0.264***",="           0.167***",="           1.444   "
="                                                  ",="         (0.054)   ",="       (122.197)   ",="         (0.055)   ",="        (10.879)   ",="         (0.058)   ",="         (0.052)   ",="         (0.053)   ",="         (1.837)   "
="practice_prods_new5                               ",="           0.347***",="         714.774***",="           0.261***",="          42.085***",="           0.334***",="           0.336***",="           0.234***",="           5.587** "
="                                                  ",="         (0.065)   ",="       (177.493)   ",="         (0.062)   ",="        (13.047)   ",="         (0.071)   ",="         (0.061)   ",="         (0.061)   ",="         (2.259)   "
="prods_dispose                                     ",="           0.060   ",="         148.962   ",="          -0.078   ",="         -14.765   ",="           0.058   ",="           0.021   ",="          -0.076   ",="          -0.934   "
="                                                  ",="         (0.074)   ",="       (181.801)   ",="         (0.073)   ",="        (12.472)   ",="         (0.082)   ",="         (0.069)   ",="         (0.069)   ",="         (2.982)   "
="practice_inv_demand                               ",="           0.152***",="         242.227** ",="           0.106*  ",="          21.289** ",="           0.113*  ",="           0.142***",="           0.094*  ",="           1.030   "
="                                                  ",="         (0.054)   ",="       (102.097)   ",="         (0.055)   ",="         (9.478)   ",="         (0.059)   ",="         (0.052)   ",="         (0.053)   ",="         (2.312)   "
="practice_inv_space                                ",="           0.124** ",="         214.302** ",="           0.079   ",="           7.462   ",="           0.143** ",="           0.112** ",="           0.073   ",="           4.243** "
="                                                  ",="         (0.056)   ",="       (106.333)   ",="         (0.057)   ",="        (10.020)   ",="         (0.061)   ",="         (0.053)   ",="         (0.054)   ",="         (2.108)   "
="practice_price_demand                             ",="          -0.011   ",="          21.663   ",="           0.007   ",="          -0.714   ",="           0.008   ",="          -0.027   ",="           0.033   ",="          -2.882   "
="                                                  ",="         (0.081)   ",="       (185.855)   ",="         (0.076)   ",="        (15.644)   ",="         (0.090)   ",="         (0.077)   ",="         (0.073)   ",="         (2.445)   "
="owner_educ                                        ",="           0.009   ",="           4.686   ",="           0.024***",="           3.143***",="           0.009   ",="           0.011   ",="           0.022***",="           0.575** "
="                                                  ",="         (0.007)   ",="        (12.737)   ",="         (0.007)   ",="         (1.031)   ",="         (0.007)   ",="         (0.006)   ",="         (0.006)   ",="         (0.279)   "
="labour_total                                      ",="           0.023   ",="         112.519** ",="           0.031   ",="           9.795** ",="           0.001   ",="           0.053***",="           0.037*  ",="           0.924   "
="                                                  ",="         (0.021)   ",="        (51.388)   ",="         (0.020)   ",="         (4.145)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.927)   "
="firm_space_cont                                   ",="           0.023***",="          48.182***",="           0.016***",="           2.800***",="           0.023***",="           0.020***",="           0.014***",="           0.325** "
="                                                  ",="         (0.005)   ",="        (11.785)   ",="         (0.004)   ",="         (0.802)   ",="         (0.006)   ",="         (0.005)   ",="         (0.003)   ",="         (0.143)   "
="_cons                                             ",="           7.029***",="         347.327*  ",="           4.801***",="          56.873***",="           3.736***",="           2.974***",="           1.650***",="          18.075***"
="                                                  ",="         (0.093)   ",="       (185.268)   ",="         (0.084)   ",="        (14.878)   ",="         (0.097)   ",="         (0.088)   ",="         (0.077)   ",="         (3.180)   "
="R-squared                                         ",="           0.159   ",="           0.161   ",="           0.107   ",="           0.100   ",="           0.131   ",="           0.162   ",="           0.101   ",="           0.041   "
="N                                                 ",="            1289   ",="            1289   ",="            1266   ",="            1266   ",="            1300   ",="            1306   ",="            1272   ",="            1302   "
="* p<0.10, ** p<0.05, *** p<0.01"
