="Baseline Regs with Interaction effect: size"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_w   ",="sales_mthly_comp_all_w   ",="profit_mthly_comp_rep_ihs_w   ",="profit_mthly_comp_rep_w   ",="sales_normday_ihs_w   ",="sales_normday_topprods_ihs_w   ",="profit_normday_ihs_w   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="firm_stockout_wklyall                             ",="           0.329***",="         496.683*  ",="           0.274***",="          46.406** ",="           0.333***",="           0.214** ",="           0.238***",="           3.620   "
="                                                  ",="         (0.090)   ",="       (260.472)   ",="         (0.092)   ",="        (22.104)   ",="         (0.099)   ",="         (0.092)   ",="         (0.087)   ",="         (4.543)   "
="firm_stockup_lateany                              ",="           0.152   ",="         367.627   ",="          -0.071   ",="          -4.537   ",="           0.151   ",="           0.033   ",="          -0.086   ",="          -3.130   "
="                                                  ",="         (0.106)   ",="       (292.164)   ",="         (0.114)   ",="        (20.766)   ",="         (0.113)   ",="         (0.098)   ",="         (0.109)   ",="         (4.349)   "
="firm_stockup_fixall                               ",="           0.719***",="        1936.738***",="           0.555***",="         128.647***",="           0.711***",="           0.759***",="           0.555***",="          -0.204   "
="                                                  ",="         (0.183)   ",="       (682.648)   ",="         (0.158)   ",="        (47.400)   ",="         (0.207)   ",="         (0.185)   ",="         (0.162)   ",="         (3.937)   "
="firm_stockup_wklyall                              ",="          -0.285** ",="        -541.886** ",="          -0.113   ",="         -29.446   ",="          -0.292** ",="          -0.298***",="          -0.116   ",="          -6.782*  "
="                                                  ",="         (0.114)   ",="       (233.599)   ",="         (0.109)   ",="        (18.477)   ",="         (0.122)   ",="         (0.108)   ",="         (0.103)   ",="         (3.736)   "
="firm_stockup_dailyall                             ",="           0.439***",="         905.275*  ",="           0.106   ",="          18.961   ",="           0.357** ",="           0.554***",="           0.100   ",="           8.758   "
="                                                  ",="         (0.154)   ",="       (482.196)   ",="         (0.163)   ",="        (32.738)   ",="         (0.166)   ",="         (0.137)   ",="         (0.155)   ",="         (7.776)   "
="firm_stockout_wklyall_BMsize                      ",="          -0.495***",="        -780.899***",="          -0.471***",="         -75.569***",="          -0.538***",="          -0.358***",="          -0.436***",="          -9.815** "
="                                                  ",="         (0.113)   ",="       (280.301)   ",="         (0.115)   ",="        (24.378)   ",="         (0.126)   ",="         (0.111)   ",="         (0.108)   ",="         (4.732)   "
="firm_stockup_lateany_BMsize                       ",="          -0.636***",="       -1073.801***",="          -0.298** ",="         -50.749** ",="          -0.673***",="          -0.499***",="          -0.267** ",="          -6.774   "
="                                                  ",="         (0.129)   ",="       (304.069)   ",="         (0.136)   ",="        (22.615)   ",="         (0.140)   ",="         (0.118)   ",="         (0.130)   ",="         (4.451)   "
="firm_stockup_fixall_BMsize                        ",="          -0.907***",="       -2281.312***",="          -0.614***",="        -134.504** ",="          -0.989***",="          -0.896***",="          -0.567** ",="           4.590   "
="                                                  ",="         (0.237)   ",="       (753.952)   ",="         (0.231)   ",="        (57.244)   ",="         (0.262)   ",="         (0.248)   ",="         (0.238)   ",="         (6.796)   "
="firm_stockup_wklyall_BMsize                       ",="          -0.386** ",="        -120.064   ",="          -0.475***",="         -35.408   ",="          -0.385** ",="          -0.387***",="          -0.407***",="          -6.366   "
="                                                  ",="         (0.161)   ",="       (308.455)   ",="         (0.156)   ",="        (23.983)   ",="         (0.173)   ",="         (0.146)   ",="         (0.147)   ",="         (3.883)   "
="firm_stockup_dailyall_BMsize                      ",="          -0.302   ",="        -649.090   ",="           0.069   ",="          14.703   ",="          -0.255   ",="          -0.339*  ",="           0.113   ",="          -7.047   "
="                                                  ",="         (0.205)   ",="       (605.846)   ",="         (0.214)   ",="        (46.147)   ",="         (0.226)   ",="         (0.178)   ",="         (0.204)   ",="         (8.189)   "
="labour_total                                      ",="           0.038*  ",="         145.769** ",="           0.045** ",="          11.896** ",="           0.015   ",="           0.067***",="           0.049** ",="           1.180   "
="                                                  ",="         (0.023)   ",="        (62.975)   ",="         (0.021)   ",="         (4.779)   ",="         (0.024)   ",="         (0.021)   ",="         (0.021)   ",="         (0.907)   "
="_cons                                             ",="           7.737***",="        1545.236***",="           5.460***",="         158.028***",="           4.448***",="           3.659***",="           2.259***",="          33.858***"
="                                                  ",="         (0.054)   ",="       (129.045)   ",="         (0.052)   ",="        (10.479)   ",="         (0.057)   ",="         (0.051)   ",="         (0.050)   ",="         (1.991)   "
="R-squared                                         ",="           0.117   ",="           0.084   ",="           0.083   ",="           0.066   ",="           0.106   ",="           0.129   ",="           0.081   ",="           0.036   "
="N                                                 ",="            1289   ",="            1289   ",="            1266   ",="            1266   ",="            1300   ",="            1306   ",="            1272   ",="            1302   "
="Dep Var Mean for AM 12-Mth Shop Asps in Control   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for AM 12-Mth Shop Asps in Control     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var Mean for BM 12-Mth Shop Asps in Control   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for BM 12-Mth Shop Asps in Control     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var Mean for AM Ideal Asps in Control         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for AM Ideal Asps in Control           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var Mean for BM Ideal Asps in Control         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for BM Ideal Asps in Control           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
