shop_ID,W1_gps_dec_long,W1_gps_dec_lat,W1_shoptype,W1_tuksayur2,W1_rokok2,W1_gas2,W1_warung2,B,BM,BC,BMC,BT,BMT,BCT,BMCT,control,treatgroup
107,106.8028,-6.1496015,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
125,106.80441,-6.1503048,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
128,106.73258,-6.1475315,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
133,106.80544,-6.1488833,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
190,106.80285,-6.1505485,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
196,106.73258,-6.1475315,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
201,106.94639,-6.2315683,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0
221,106.9429,-6.231535,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
230,106.93961,-6.2295985,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
232,106.9389,-6.2304869,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
326,106.80884,-6.3396482,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
330,106.80979,-6.3349319,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
337,106.81311,-6.3354216,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
338,106.81322,-6.3343134,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
391,106.80981,-6.3395681,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
415,106.74821,-6.2331681,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
483,106.75011,-6.2322016,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
486,106.7467,-6.2324419,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
497,106.74659,-6.2242665,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
506,106.83021,-6.1539168,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
508,106.82901,-6.1588349,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
512,106.82984,-6.1573167,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
