="Original baseline selection of best pract with fin2 practices"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="W1_sales_comp3_ihs_w1   ",="W1_sales_comp3_w1   ",="W1_prof_comp4_ihs_w1   ",="W1_prof_comp4_w1   ",="W1_sales_nday_ihs_w1   ",="W1_sales_nday_top3_w1   ",="W1_prof_nday_ihs_w1   ",=" W1_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="W1_credit_TC                                      ",="           0.274***",="         745.653   ",="           0.162** ",="          52.482   ",="           0.312***",="          26.899** ",="           0.216***",="           2.215   "
="                                                  ",="         (0.080)   ",="       (529.442)   ",="         (0.074)   ",="        (42.412)   ",="         (0.081)   ",="        (12.020)   ",="         (0.076)   ",="         (3.895)   "
="W1_credit_TC_int                                  ",="           0.115   ",="         747.410   ",="           0.144*  ",="          86.262   ",="           0.078   ",="          23.343   ",="           0.132   ",="           5.092   "
="                                                  ",="         (0.086)   ",="       (683.957)   ",="         (0.086)   ",="        (60.952)   ",="         (0.093)   ",="        (18.170)   ",="         (0.087)   ",="         (4.867)   "
="W1_separatefin                                    ",="          -0.053   ",="        -298.863   ",="           0.002   ",="           8.278   ",="          -0.066   ",="          -8.086   ",="           0.033   ",="           4.308*  "
="                                                  ",="         (0.051)   ",="       (327.223)   ",="         (0.049)   ",="        (29.454)   ",="         (0.053)   ",="         (8.407)   ",="         (0.050)   ",="         (2.431)   "
="W1_loan_outstanding                               ",="           0.027   ",="        -251.693   ",="           0.087   ",="          32.618   ",="           0.047   ",="          -2.015   ",="           0.152** ",="           0.005   "
="                                                  ",="         (0.072)   ",="       (419.545)   ",="         (0.067)   ",="        (42.004)   ",="         (0.074)   ",="        (11.712)   ",="         (0.065)   ",="         (3.325)   "
="W1_labour_total                                   ",="           0.020   ",="         318.740*  ",="           0.031   ",="          32.107** ",="           0.009   ",="          13.049***",="           0.035   ",="           1.578   "
="                                                  ",="         (0.023)   ",="       (171.154)   ",="         (0.021)   ",="        (13.606)   ",="         (0.023)   ",="         (4.454)   ",="         (0.022)   ",="         (1.387)   "
="W1_size                                           ",="           0.025***",="         156.920***",="           0.018***",="          10.308***",="           0.025***",="           3.872***",="           0.017***",="           0.499** "
="                                                  ",="         (0.006)   ",="        (36.969)   ",="         (0.005)   ",="         (2.739)   ",="         (0.006)   ",="         (1.080)   ",="         (0.004)   ",="         (0.203)   "
="_cons                                             ",="           8.222***",="        2172.157***",="           6.213***",="         315.645***",="           4.973***",="          41.642** ",="           2.897***",="          35.447***"
="                                                  ",="         (0.106)   ",="       (738.681)   ",="         (0.095)   ",="        (56.407)   ",="         (0.110)   ",="        (17.635)   ",="         (0.094)   ",="         (5.011)   "
="R-squared                                         ",="           0.113   ",="           0.110   ",="           0.075   ",="           0.071   ",="           0.107   ",="           0.110   ",="           0.073   ",="           0.026   "
="N                                                 ",="            1286   ",="            1286   ",="            1262   ",="            1262   ",="            1295   ",="            1301   ",="            1268   ",="            1297   "
="* p<0.10, ** p<0.05, *** p<0.01"
