="asp Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   "
="                                                  ",="Aspirations for ideal business size   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of customers   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -4.875** ",="          -0.152   ",="          -4.379   "
="                                                  ",="         (2.070)   ",="         (0.136)   ",="         (6.611)   "
="Assigned Handbook & Movie                         ",="          -2.701   ",="          -0.195   ",="           5.132   "
="                                                  ",="         (2.013)   ",="         (0.130)   ",="         (7.002)   "
="Assigned Handbook & Counseling                    ",="          -0.595   ",="          -0.100   ",="          -1.646   "
="                                                  ",="         (2.209)   ",="         (0.133)   ",="         (6.628)   "
="Assigned All Three                                ",="          -1.474   ",="          -0.115   ",="           5.583   "
="                                                  ",="         (2.096)   ",="         (0.134)   ",="         (7.132)   "
="R-squared                                         ",="           0.216   ",="           0.141   ",="           0.189   "
="N                                                 ",="            1023   ",="            1024   ",="            1022   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
