InputID,TargetID,Distance
107,108,4.30767918964e-05
125,124,0.000422789415667
128,129,0.0
133,187,0.000895344604045
190,123,0.000683178519867
196,129,0.0
201,203,0.00206460020585
221,203,0.00145549278253
230,226,0.000829085188625
232,220,0.00168594230031
326,327,0.00163214582988
330,332,0.00132316750641
337,329,0.00211073981343
338,329,0.00203086583506
391,327,0.000973874755809
415,481,0.000938225218169
483,481,0.00155173644992
486,421,0.00147281352859
497,493,0.00257599292701
506,522,0.000374932007167
508,510,0.00101384379467
512,503,0.000764752404375
586,511,0.000656425349906
613,685,0.00205238780205
618,689,0.000399091768892
641,2606,0.00647169135543
693,621,0.000240455900328
704,702,0.000455150799186
717,708,0.000214830374943
719,721,0.000578981208677
745,739,0.00331944658189
781,780,0.000519105230185
784,783,0.000358305581869
805,882,0.000238209991396
812,813,0.000231027292762
837,838,0.00101395031437
888,819,0.000682093512653
890,829,0.000240479853624
891,833,0.000684086902374
894,825,0.0014279529439
903,902,0.00096247158919
904,902,0.00262987166987
906,902,0.00423957634204
915,914,0.00105253942444
921,922,0.00172995318144
928,926,0.001219661658
983,902,0.00578185991183
984,926,0.0062413974597
1108,1184,0.000639324299559
1109,1184,0.00075133215025
1110,1111,0.00113547346953
1113,1111,0.00132696001824
1117,1131,0.00110584946535
1129,1133,0.000308662032003
1136,1140,0.000568330502434
1137,1111,0.0
1181,1184,0.000630366758325
1208,1202,0.000407306076556
1218,1215,0.00054201683553
1228,1227,0.0011737797451
1281,1226,0.00117547234761
1293,1215,0.000184159957644
1310,1316,0.00119692693595
1320,1322,0.000950210971315
1323,1316,0.000777510289324
1346,1345,0.000870217265975
1387,1322,0.000431409967431
1406,1420,0.00174201033291
1412,1403,0.00331813497164
1424,1425,0.000972899794432
1481,1480,0.000643852475339
1482,1480,0.00226622660827
1516,1515,0.000534576103096
1533,1531,0.00249718926796
1540,1595,0.000265678169972
1618,1619,0.00109013434493
1645,1628,0.000500899191457
1656,1654,0.000720660981334
1662,1661,0.000803786196697
1666,1654,0.000730050655781
1678,1633,0.00230189549937
1702,1704,0.000357933010486
1706,1704,0.000368951216292
1730,1731,0.000902763512777
1734,1735,0.000389368732687
1738,1736,0.000936754503592
1801,1802,0.000430212610222
1824,1829,0.00118116322327
1841,1840,0.00225533256971
1909,1910,0.00026818650227
1921,1985,0.000836440607564
1924,1925,0.00141617874931
1928,1925,0.00223812979963
1944,1940,0.000205155940687
1952,1954,0.000235393309168
2005,2080,0.000596186220908
2020,2019,0.00219553902493
2027,2026,0.000447834299711
2029,2022,0.00189542211656
2030,2031,5.10882569657e-05
2035,2043,0.00060682123397
2042,2043,0.000284047337599
2115,2113,0.000395725359301
2116,2117,0.000590149887729
2129,2128,0.000451862822102
2135,2123,0.00159815734207
2146,2147,0.000976679522678
2190,2188,0.000242618239214
2214,2224,0.00233652838416
2221,2220,7.62365397947e-05
2312,2385,0.000429418211075
2318,2385,0.000426417272164
2320,2319,0.000210280788474
2395,2337,0.000480797504155
2403,2482,0.0014007710591
2404,2405,0.000984441166349
2407,2406,0.000229495119772
2410,2409,0.000698268601611
2436,2437,0.000580557111747
2481,2402,0.00022723168794
2483,2482,0.000742227465137
2517,2535,0.00070758463099
2524,2523,0.000409124137634
2526,2523,0.000482607179808
2544,2545,0.000593136206951
2565,2563,0.00407856028643
2583,2523,0.000990594891974
2585,2519,0.00164639758261
2589,2523,0.00239043279763
2597,2562,0.00218169558142
2598,2562,0.00170793032937
2610,2601,0.000461904329925
2611,2601,0.000550435836396
2616,2623,0.000582589400865
2640,2641,0.000449940007113
2644,2691,0.000641887871836
2646,2691,0.000952633843619
2655,2654,0.000723118862981
2680,2601,0.00082962885678
2686,2625,0.000850895769172
2693,2637,0.000705117749027
2694,2645,0.000820107852668
2716,2785,0.00026740089753
2739,2740,0.000262980778762
2784,2715,0.000801633931423
2791,2790,0.000482870127468
2795,2725,0.000977234674995
2804,2803,0.000542529777987
2827,2853,0.00127191666787
2828,2810,0.00140982268388
2830,2810,0.00116844171442
2837,2805,0.000370812958241
2847,2845,0.00127789186162
2851,2853,0.00136159612588
2886,2887,0.000112712022432
2920,2984,0.000300775680532
2934,2908,0.000894128408002
2985,2923,0.000184032714481
2989,2986,0.00025000449996
2995,2946,0.000706023292816
3002,3001,0.000432541616495
3008,3009,0.00082669225834
3010,3009,0.000216214916224
3019,3080,0.000627613925911
3085,3086,0.000403043434389
