InputID,TargetID,Distance
107,106,5.76017360865e-05
133,187,0.000895344604045
186,2602,0.00168760114068
190,123,0.000683178519867
196,2602,0.00176029038797
201,204,0.000793344824138
202,204,0.00119369952668
219,231,0.000602787068543
230,231,0.00046249998919
232,231,0.00102860246937
238,236,0.00106286593698
304,381,0.00039207255706
315,383,0.00122222839518
326,327,0.00163214582988
337,329,0.00211073981343
338,329,0.00203086583506
391,327,0.000973874755809
419,422,0.000785536784634
482,414,0.00150289976047
501,527,0.00163495521651
506,522,0.000374932007167
507,522,0.000197710495415
508,510,0.00101384379467
512,503,0.000764752404375
586,511,0.000656425349906
613,612,0.00256369765963
618,689,0.000399091768892
630,635,0.00157833077648
644,642,0.000756401507134
711,712,0.0004416
717,708,0.000214830374943
719,722,0.000277097257297
743,740,0.00120115870724
744,740,0.00289352898897
781,708,0.000723739290068
784,712,0.000349825613698
805,881,0.0010499061339
812,813,0.000231027292762
816,815,0.000711500449754
837,836,0.000933305009101
890,829,0.000240479853624
891,833,0.000684086902374
894,841,0.00200869908398
903,902,0.00096247158919
904,902,0.00262987166987
915,914,0.00105253942444
921,922,0.00172995318144
928,929,0.000747344371758
983,902,0.00578185991183
984,926,0.0062413974597
1108,1184,0.000639324299559
1110,1111,0.00113547346953
1117,1133,0.00190898533258
1129,1133,0.000308662032003
1136,1145,0.00123206150821
1137,1111,0.0
1208,1284,0.000644606050233
1218,1215,0.00054201683553
1293,1215,0.000184159957644
1310,1316,0.00119692693595
1320,1385,0.00122062698643
1323,1316,0.000777510289324
1349,1350,0.000871451025588
1386,1319,0.00069533445909
1397,1398,0.00105076162853
1406,1420,0.00174201033291
1412,1487,0.00389445575274
1424,1420,0.00151009345737
1481,1420,0.00286940970236
1513,1510,0.000359354365493
1526,1584,0.00121683313975
1529,1532,0.00163973321001
1535,1534,0.000344483671608
1547,1546,0.00029914471415
1599,1546,0.00025925192381
1605,1604,0.00018634172909
1616,1615,0.000153317448447
1618,1614,0.000440896371042
1621,1622,0.000260086312594
1646,1648,0.000655992141716
1649,1636,0.000737503247451
1652,1634,0.000971242631891
1656,1654,0.000720660981334
1662,1660,0.000731184579977
1681,1610,0.000554050764827
1702,1707,0.00110723660072
1703,1707,0.00129648071332
1706,1707,0.000986915523232
1734,1735,0.000389368732687
1737,1709,0.000994998497487
1748,1721,0.000695323349237
1787,1722,0.000529797093235
1824,1830,0.00145153444671
1841,1833,0.00361643470838
1908,1910,0.000348778210324
1909,1910,0.00026818650227
1914,1912,0.00074771845636
1921,1985,0.000836440607564
1924,1925,0.00141617874931
1939,1938,0.000429418211068
1944,1941,0.000448349874545
1948,1931,0.00063722373622
1952,1954,0.000235393309168
1953,1954,0.000484210243594
1963,1962,0.000300431173483
2001,2002,0.00038017397334
2005,2006,0.000580760062336
2016,2021,0.00100724984487
2020,2019,0.00219553902493
2027,2026,0.000447834299711
2029,2022,0.00189542211656
2035,2034,0.00066270660175
2042,2034,0.00100186803521
2116,2112,0.00137474757319
2129,2127,0.000808834939896
2135,2140,0.00158538167014
2146,2147,0.000976679522678
2148,2147,0.00107648298174
2190,2188,0.000242618239214
2214,2224,0.00233652838416
2218,2217,0.00101928516618
2221,2213,0.00155352376551
2222,2205,0.00199374361692
2312,2385,0.000429418211075
2318,2317,0.000407090174296
2320,2319,0.000210280788474
2333,2393,0.00116275621263
2403,2482,0.0014007710591
2404,2409,0.00118936622199
2407,2406,0.000229495119772
2410,2409,0.000698268601611
2414,2417,0.00137758397566
2424,2488,0.000920949271126
2481,2482,0.000971207501011
2483,2482,0.000742227465137
2507,2505,0.000972056423259
2525,2520,0.00101168078464
2526,2588,0.000797448430942
2532,2528,0.00105395020755
2565,2564,0.00474268194591
2610,2601,0.000461904329925
2640,2639,0.000750538180239
2644,2647,0.000542232570022
2646,2647,0.000253760832279
2655,2657,0.00118641814298
2656,2657,0.00104658408167
2686,2625,0.000850895769172
2693,2638,0.000641353264581
2694,2647,0.000604930706776
2716,2785,0.00026740089753
2727,2796,0.000436305225731
2739,2740,0.000262980778762
2791,2790,0.000482870127468
2794,2722,0.000958880618224
2795,2725,0.000977234674995
2804,2803,0.000542529777987
2830,2881,0.000751728415053
2837,2836,0.000680049182046
2847,2844,0.00184626802225
2851,2882,0.00191401904118
2852,2882,0.00186902531015
2886,2887,0.000112712022432
2916,2983,0.0
2920,2984,0.000300775680532
2934,2944,0.000955351265246
2989,2986,0.00025000449996
2995,2946,0.000706023292816
3010,3087,0.000590857080853
3017,3016,0.00101611625811
3019,3080,0.000627613925911
