InputID	TargetID	Distance
2716	2785	0.0002674009
2717	2786	0.0004090892
2727	2796	0.0004363052
2739	2740	0.0002629808
2784	2715	0.0008016339
2791	2788	0.0003416815
2794	2720	0.0003951848
2795	2725	0.0009772347
2804	2803	0.0005425298
2827	2829	0.0004049284
2828	2829	0.00029344
2830	2829	0.0006087076
2837	2805	0.000370813
2847	2845	0.0012778919
2851	2829	0.0010442275
2852	2829	0.0008745427
2854	2823	0.0004253261
2886	2887	0.000112712
2910	2909	0.0002638315
2916	2983	0
2920	2984	0.0003007757
2934	2908	0.0008941284
2940	2939	0.0003928794
2982	2913	0.0002755051
2985	2923	0.0001840327
2989	2986	0.0002500045
2995	2946	0.0007060233
3002	3003	0.0003410311
3008	3009	0.0008266923
3010	3009	0.0002162149
3017	3016	0.0010161163
3019	3003	0.0005320309
3085	3086	0.0004030434
