InputID,TargetID,Distance
186,129,7.38075876802e-05
202,203,0.00136230905451
221,222,0.00105036877333
232,231,0.00102860246937
235,234,0.000626232297157
238,237,0.000584669145754
315,311,0.00250691743781
318,301,0.00256714434537
326,389,0.00279074185298
409,481,0.000830450293519
419,417,0.00312728092919
512,582,0.00158815340569
618,615,0.00133997239151
643,639,0.00144013888219
704,705,0.000680896181506
706,710,0.000283153827451
744,741,0.00244124347209
888,886,0.00171354941861
903,981,0.000630802861444
906,981,0.00452864691602
921,933,0.00272633806415
1113,1102,0.00193208494897
1306,1307,0.000374549382582
1310,1314,0.0004346633755
1321,1314,0.00194785691467
1397,1348,0.00118367732512
1406,1426,0.00300363180832
1513,1510,0.000359354365493
1516,1515,0.000534576103096
1518,1515,0.000820006640221
1526,1584,0.00121683313975
1529,1532,0.00163973321001
1599,1595,0.000532496244116
1616,1682,0.00157731762496
1621,1622,0.000260086312594
1645,1625,0.0010874518656
1650,1648,0.000809398301212
1657,1658,0.000378161460226
1662,1661,0.000803786196697
1703,1781,0.00150823315174
1737,1729,0.00100706631361
1748,1721,0.000695323349237
1787,1722,0.000529797093235
1882,1805,0.000210068774453
1914,1905,0.00145695969744
1927,1925,0.0013048467343
1948,1947,0.00109782011277
1952,1951,0.000733019754167
2005,2003,0.000885225959855
2030,2022,0.000523261158515
2118,2117,0.000295554140553
2222,2205,0.00199374361692
2302,2315,0.000560290103428
2318,2308,0.000680105874099
2320,2387,0.0015804499644
2414,2417,0.00137758397566
2436,2437,0.000580557111747
2481,2401,0.000795455215579
2507,2506,0.000611432939905
2544,2543,0.00135577231127
2589,2530,0.00119469029041
2597,2596,0.000403204675069
2680,2683,0.000707386768318
2717,2718,0.00187457517587
2739,2742,0.002374325639
2827,2811,0.00111121283289
2910,2992,0.00073678355709
2916,2914,0.00064257883563
2940,2939,0.00039287942171
2985,2922,0.000888982002071
3017,3018,0.00108559304069
